浜松市立雄踏小学校,4310102,浜松市西区雄踏町宇布見7997-1,053-592-1029,34.701611,137.632982
浜松市立浜名小学校,4340042,浜松市浜北区小松1450,053-586-3066,34.789644,137.768952
浜松市立北浜小学校,4340036,浜松市浜北区横須賀800,053-586-2990,34.792436,137.792089
浜松市立北浜東小学校,4340025,浜松市浜北区善地1546,053-586-3319,34.792443,137.810684
浜松市立中瀬小学校,4340012,浜松市浜北区中瀬3648-1,053-588-7310,34.82402,137.810911
浜松市立赤佐小学校,4340015,浜松市浜北区於呂2790,053-588-7552,34.837547,137.797167
浜松市立麁玉小学校,4340004,浜松市浜北区宮口262,053-589-8313,34.829453,137.770637
浜松市立新原小学校,4340003,浜松市浜北区新原2331,053-589-8327,34.817863,137.780892
浜松市立北浜北小学校,4340033,浜松市浜北区西美薗1588,053-587-8250,34.802644,137.795816
浜松市立内野小学校,4340044,浜松市浜北区内野1702,053-586-4001,34.784486,137.756392
浜松市立北浜南小学校,4340035,浜松市浜北区寺島3010,053-586-1585,34.784412,137.791184
浜松市立伎倍小学校,4340038,浜松市浜北区貴布祢2646,053-586-8911,34.801021,137.783475
浜松市立二俣小学校,4313314,浜松市天竜区二俣町二俣867-1,053-925-4178,34.864344,137.812221
浜松市立光明小学校,4313303,浜松市天竜区山東2550,053-925-3032,34.877782,137.824606
浜松市立上阿多古小学校,4313532,浜松市天竜区西藤平1318,053-928-0004,34.912298,137.76345
浜松市立下阿多古小学校,4313426,浜松市天竜区両島762,053-926-3511,34.882916,137.79202
浜松市立熊小学校,4313641,浜松市天竜区熊2153,053-929-0151,34.959691,137.732981
浜松市立横山小学校,4313764,浜松市天竜区横山町547,053-923-0073,34.942746,137.817575
浜松市立犬居小学校,4370625,浜松市天竜区春野町堀之内993-1,053-985-0017,34.959585,137.897558
浜松市立気田小学校,4370605,浜松市天竜区春野町気田603-1,053-989-0044,35.003825,137.905829
浜松市立佐久間小学校,4313905,浜松市天竜区佐久間町半場50-1,053-965-0024,35.087947,137.803112
浜松市立浦川小学校,4313906,浜松市天竜区佐久間町浦川2819,053-967-3802,35.055116,137.76473
浜松市立水窪小学校,4314101,浜松市天竜区水窪町奥領家2697-1,053-987-0007,35.16078,137.868393
浜松市立気賀小学校,4311305,浜松市北区細江町気賀11529-1,053-523-0158,34.810239,137.654476
浜松市立西気賀小学校,4311305,浜松市北区細江町気賀9994-1,053-523-0142,34.801877,137.623953
浜松市立伊目小学校,4311305,浜松市北区細江町気賀3241,053-523-0253,34.787239,137.643294
浜松市立中川小学校,4311304,浜松市北区細江町中川2553,053-523-0431,34.809082,137.677435
浜松市立井伊谷小学校,4312212,浜松市北区引佐町井伊谷680,053-542-0063,34.832318,137.67222
浜松市立金指小学校,4312213,浜松市北区引佐町金指1369,053-542-0114,34.821342,137.678454
浜松市立奥山小学校,4312224,浜松市北区引佐町奥山1101-1,053-543-0310,34.845396,137.628896
浜松市立三ヶ日東小学校,4311402,浜松市北区三ヶ日町都筑2266-2,053-526-7034,34.793359,137.581688
浜松市立三ヶ日西小学校,4311414,浜松市北区三ヶ日町三ヶ日301-1,053-525-0047,34.809187,137.55363
浜松市立平山小学校,4311417,浜松市北区三ヶ日町平山200,053-525-0136,34.824779,137.536889
浜松市立尾奈小学校,4311424,浜松市北区三ヶ日町下尾奈1431,053-525-0164,34.785,137.539186
浜松市立双葉小学校,4328033,浜松市中区海老塚二丁目5-1,053-452-0280,34.699744,137.732123
浜松市立引佐北部小学校（引佐北部小中学校）,4312533,浜松市北区引佐町四方浄134-6,053-528-3131,34.899053,137.6554
浜松市立南の星小学校,4300837,浜松市南区西島町1148-1,053-425-6900,34.662548,137.768731
浜松市立庄内小学校(庄内学園),4311208,浜松市西区庄内町100,053-487-0063,34.754962,137.608839
中部小学校（浜松中部学園）,4300947,浜松市中区松城町108-1,,34.713323,137.723145
